Approp Code,Agency,Agency Name,Div,Division Name,Appropriation Name,Appropriation,Fund Name,Fund,Fund Category Name,Appropriation Type,Capital Line, FY14 Actual Approp , FY14 Actual Expend , FY15 Actual Approp , FY15 Estimate Expend , FY16 Governors Proposed 
101-10-0001-19103111,101,General Assembly,10,Senate Expenses,Redistricting Support for Senate President - Reappropriation,19103111,General Revenue Fund,1,General Funds,Reappropriation,No,434082,111,433971,433971,433971
101-10-0196-19100000,101,General Assembly,10,Senate Expenses,Ordinary and Contingent Expenses of the Senate,19100000,General Assembly Operations Revolving Fund,196,Special State Funds,New Appropriation,No,250000,12764.23,250000,250000,250000
101-20-0001-19000100,101,General Assembly,20,House Expenses,Ordinary and Contingent Expenses of Legislative Leadership and Staff Assistants: Speaker,19000100,General Revenue Fund,1,General Funds,New Appropriation,No,5109643,4628962.57,5109643,5109643,4598700
101-20-0001-19000200,101,General Assembly,20,House Expenses,Ordinary and Contingent Expenses of Legislative Leadership and Staff Assistants: Minority Leader,19000200,General Revenue Fund,1,General Funds,New Appropriation,No,4903609,4686242.71,4903609,4903609,4413200
101-20-0001-19000300,101,General Assembly,20,House Expenses,"Ordinary and Incidental Expenses of General Staff, Operations and Standing Committees",19000300,General Revenue Fund,1,General Funds,New Appropriation,No,5631018,4612221.14,5631018,5631018,5067900
101-20-0001-19000500,101,General Assembly,20,House Expenses,"Ordinary and Contingent Expenses, Including Purchase of Contract Printing, Binding, Paper, and Office Supplies",19000500,General Revenue Fund,1,General Funds,New Appropriation,No,94996,57984.78,94996,94996,85500
101-20-0001-19000800,101,General Assembly,20,House Expenses,"Travel, Including Expenses to Springfield on Official Business when General Assembly is not in Session: Speaker of the House",19000800,General Revenue Fund,1,General Funds,New Appropriation,No,30394,4628.71,30394,30394,27400
101-20-0001-19001012,101,General Assembly,20,House Expenses,Redistricting Support for Speaker of the House - Reappropriation,19001012,General Revenue Fund,1,General Funds,Reappropriation,No,441600,0,441600,441600,441600
101-20-0001-19001200,101,General Assembly,20,House Expenses,Speaker of the House of Representatives,19001200,General Revenue Fund,1,General Funds,New Appropriation,No,8190285,7727792.8,8190285,8190285,7371300
101-20-0001-19001500,101,General Assembly,20,House Expenses,House Standing Committees,19001500,General Revenue Fund,1,General Funds,New Appropriation,No,3444963,3054247.66,3444963,3444963,3100500
101-20-0001-19003011,101,General Assembly,20,House Expenses,Planning and Preparation for Redistricting - Reappropriation,19003011,General Revenue Fund,1,General Funds,Reappropriation,No,478903,0,478903,478903,477503
101-20-0001-19003111,101,General Assembly,20,House Expenses,House Planning and Preparation for Redistricting - Reappropriation,19003111,General Revenue Fund,1,General Funds,Reappropriation,No,476118,3811.21,472307,472307,472307
101-20-0196-19000000,101,General Assembly,20,House Expenses,Ordinary and Contingent Expenses of the House,19000000,General Assembly Operations Revolving Fund,196,Special State Funds,New Appropriation,No,250000,11000,250000,250000,250000
101-30-0001-19100000,101,General Assembly,30,Joint Committees,All Costs Associated with the National Conference of State Legislatures,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,341600,12398.21,341600,341600,307400
103-01-0001-11200000,103,Office Of The Auditor General,1,General Office,Personal Services,11200000,General Revenue Fund,1,General Funds,New Appropriation,No,5592521,5592469.53,5551000,5551000,4995900
103-01-0001-11700000,103,Office Of The Auditor General,1,General Office,Social Security,11700000,General Revenue Fund,1,General Funds,New Appropriation,No,402698,402645.85,425000,425000,382500
103-01-0001-12000000,103,Office Of The Auditor General,1,General Office,Contractual Services,12000000,General Revenue Fund,1,General Funds,New Appropriation,No,602546,602217.38,636000,636000,572400
103-01-0001-13000000,103,Office Of The Auditor General,1,General Office,Commodities,13000000,General Revenue Fund,1,General Funds,New Appropriation,No,7000,5409.6,20000,20000,18000
103-01-0001-13020000,103,Office Of The Auditor General,1,General Office,Printing,13020000,General Revenue Fund,1,General Funds,New Appropriation,No,7500,6775.95,20000,20000,18000
103-01-0001-15000000,103,Office Of The Auditor General,1,General Office,Equipment,15000000,General Revenue Fund,1,General Funds,New Appropriation,No,53435,53102.72,25000,25000,22500
103-01-0001-16000000,103,Office Of The Auditor General,1,General Office,Electronic Data Processing,16000000,General Revenue Fund,1,General Funds,New Appropriation,No,74300,74300,50000,50000,45000
103-01-0001-17000000,103,Office Of The Auditor General,1,General Office,Telecommunications,17000000,General Revenue Fund,1,General Funds,New Appropriation,No,63000,62011.38,75000,75000,67500
103-01-0001-18000000,103,Office Of The Auditor General,1,General Office,Operation Of Auto Equipment,18000000,General Revenue Fund,1,General Funds,New Appropriation,No,4000,3149.8,5000,5000,4500
103-01-0342-19100000,103,Office Of The Auditor General,1,General Office,"Audits, Studies and Investigations",19100000,Audit Expense Fund,342,Special State Funds,New Appropriation,No,22109989,20875526,23947191,23947191,24733049
105-01-0001-11290000,105,Commission On Government Forecasting and Accountability,1,General Office,State Paid Retirement,11290000,General Revenue Fund,1,General Funds,New Appropriation,No,1500000,902554.19,1500000,1500000,1350000
105-01-0001-19100000,105,Commission On Government Forecasting and Accountability,1,General Office,COGFA Operations,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,1201400,1149561.05,1201400,1201400,1081260
108-01-0001-19100000,108,Legislative Information System,1,General Office,Operational Lump Sum,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,5166700,4760209.33,5166700,5166700,4650000
108-01-0155-19100000,108,Legislative Information System,1,General Office,"Purchase, Maintenance and Rental of General Assembly Electronic Data Processing Equipment and for Other Operational Purposes of the General Assembly",19100000,General Assembly Computer Equipment Revolving Fund,155,Special State Funds,New Appropriation,No,1600000,20625.12,1600000,1600000,1600000
109-01-0001-19100000,109,Legislative Audit Commission,1,General Office,Operational Lump Sum,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,243100,242547.52,243100,243100,218800
110-01-0001-19100000,110,Legislative Printing Unit,1,Operations,Operational Expenses,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,2160000,2053312.72,2160000,2160000,1944000
112-01-0001-19100000,112,Legislative Research Unit,1,Operations,Operational Expenses,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,2950700,2761033.27,2950700,2950700,2655600
115-01-0001-19100000,115,Legislative Reference Bureau,1,General Office,Operational Expenses,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,2489400,2295675.86,2489400,2489400,2240500
120-01-0001-19000000,120,Legislative Ethics Commission,1,General Office,Ordinary and Contingent Expenses of the General Assembly's Office of the Inspector General,19000000,General Revenue Fund,1,General Funds,New Appropriation,No,312500,120765.1,312500,312500,281300
131-01-0001-11630000,131,General Assembly Retirement System,1,General Office,Retirement,11630000,General Revenue Fund,1,General Funds,New Appropriation,No,13856000,13856000,15809000,15809000,12190700
156-01-0001-19100000,156,Office Of The Architect Of The Capitol,1,Space Needs,Operational Expenses,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,1669500,1150272.96,1669500,1669500,1502550
156-01-0141-19000012,156,Office Of The Architect Of The Capitol,1,Space Needs,Capitol Complex - Springfield - Sangamon County - Architect of the Capitol for all Costs Related to Asbestos and Environmental Abatement in the Capitol,19000012,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,21599,21598.52,1,0,0
156-01-0141-66000012,156,Office Of The Architect Of The Capitol,1,Space Needs,Capitol Building - Springfield - Sangamon County - Renovation of HVAC and ADA Compliance - Phases II and III,66000012,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,10038463,0,10038463,60000,9978479
156-01-0141-66000112,156,Office Of The Architect Of The Capitol,1,Space Needs,Capitol Building - Springfield - Sangamon County - Upgrade Life/Safety Phases II and III,66000112,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,799120,799120,0,0,0
156-01-0141-66000212,156,Office Of The Architect Of The Capitol,1,Space Needs,Capitol Complex - Springfield - Capital Upgrades,66000212,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,250000000,0,0,0,0
156-01-0141-66000312,156,Office Of The Architect Of The Capitol,1,Space Needs,Capitol Complex - Springfield - Sangamon County - Stone Restoration,66000312,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,323373,0,323373,0,323373
156-01-0141-66000412,156,Office Of The Architect Of The Capitol,1,Space Needs,"222 South College Office Building - Springfield - Sangamon County - Demolition and Landscaping of Capitol Complex, in addition to Funds Previously Appropriated",66000412,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,963567,0,963567,0,963567
156-01-0141-66000512,156,Office Of The Architect Of The Capitol,1,Space Needs,"222 South College - Springfield - Sangamon County - Demolition, or Renovation or Replacement of 222 South College Building and Landscaping of Capitol Complex",66000512,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,585151,0,585151,0,585151
156-01-0141-66000612,156,Office Of The Architect Of The Capitol,1,Space Needs,William G. Stratton Office Building - Springfield - Sangamon County - Plan and Begin Renovation or Replacement of Building,66000612,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,6685662,0,6685662,0,6685662
156-01-0141-69000010,156,Office Of The Architect Of The Capitol,1,Space Needs,Capitol Complex - Sangamon County - Costs Associated with Capital Upgrades and Improvements,69000010,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,39863569,7906065.17,31957504,100000,31857504
156-01-0141-69000012,156,Office Of The Architect Of The Capitol,1,Space Needs,"Capitol Complex - Sangamon County - Costs Associated with Equipment, Remodeling and All Other Costs Related to the Maintenance, Renovation or Restoration of Areas Located in the Capitol Building",69000012,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,204136,104589.87,99547,68110,31437
156-01-0141-69000020,156,Office Of The Architect Of The Capitol,1,Space Needs,"Capitol Complex - Springfield - Sangamon County - Fees Associated with Construction, Remodeling of Office Space and Other Support Areas",69000020,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,548180,0,548180,0,548180
156-01-0141-69000021,156,Office Of The Architect Of The Capitol,1,Space Needs,Capitol Building - Springfield - Sangamon County - Miscellaneous Improvements,69000021,Capital Development Fund,141,Bond Financed Funds,Reappropriation,Yes,3883,0,3883,0,3883
167-01-0001-19100000,167,Joint Committee On Administrative Rules,1,General Operations,Operational Expenses,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,1140700,1082675.94,1140700,1140700,1026600
201-01-0001-19009100,201,Supreme Court,1,Ordinary Operations of the Supreme Court,Probation Reimbursements,19009100,General Revenue Fund,1,General Funds,New Appropriation,No,63600000,63600000,0,0,0
201-01-0001-19009900,201,Supreme Court,1,Ordinary Operations of the Supreme Court,Operational Expenses,19009900,General Revenue Fund,1,General Funds,New Appropriation,No,238221198,238221198,344821200,344821200,310339080
201-01-0001-19930005,201,Supreme Court,1,Ordinary Operations of the Supreme Court,Deposit into the Foreign Language Interpreter Fund,19930005,General Revenue Fund,1,General Funds,Supplemental Appropriation,No,500000,500000,0,0,0
201-01-0030-19000000,201,Supreme Court,1,Ordinary Operations of the Supreme Court,Special Purposes Fund,19000000,Supreme Court Special Purposes Fund,30,Special State Funds,New Appropriation,No,0,0,500000,500000,500000
201-01-0030-19000005,201,Supreme Court,1,Ordinary Operations of the Supreme Court,Special Purposes Fund,19000005,Supreme Court Special Purposes Fund,30,Special State Funds,Supplemental Appropriation,No,300000,0,0,0,0
201-01-0262-19000200,201,Supreme Court,1,Ordinary Operations of the Supreme Court,Mandatory Arbitration Programs,19000200,Mandatory Arbitration Fund,262,Special State Funds,New Appropriation,No,26515000,4195647.94,26912700,26912700,26912700
201-01-0597-19000000,201,Supreme Court,1,Ordinary Operations of the Supreme Court,Foreign Language Interpreter Fund,19000000,Foreign Language Interpreter Fund,597,Special State Funds,New Appropriation,No,645100,0,654800,654800,654800
201-01-0769-19000000,201,Supreme Court,1,Ordinary Operations of the Supreme Court,Lawyers' Assistance Program Fund,19000000,Lawyers' Assistance Program Fund,769,Special State Funds,New Appropriation,No,939800,480000,953900,953900,953900
210-01-0428-19000000,210,Supreme Court Historic Preservation Commission,1,General Operations,Supreme Court Historic Preservation Commission,19000000,Supreme Court Historic Preservation Fund,428,Special State Funds,New Appropriation,No,10000000,598148.42,10000000,10000000,0
275-01-0001-11640000,275,Judges Retirement System,1,Operations,Retirement,11640000,General Revenue Fund,1,General Funds,New Appropriation,No,126808000,126808000,133982000,133982000,105296400
285-01-0001-11200000,285,Judicial Inquiry Board,1,General Office,Personal Services,11200000,General Revenue Fund,1,General Funds,New Appropriation,No,320800,309802.8,320800,320800,288720
285-01-0001-11290000,285,Judicial Inquiry Board,1,General Office,State Paid Retirement,11290000,General Revenue Fund,1,General Funds,New Appropriation,No,12200,12008.8,12200,12200,10980
285-01-0001-11700000,285,Judicial Inquiry Board,1,General Office,Social Security,11700000,General Revenue Fund,1,General Funds,New Appropriation,No,23300,21811.74,23300,23300,20970
285-01-0001-12000000,285,Judicial Inquiry Board,1,General Office,Contractual Services,12000000,General Revenue Fund,1,General Funds,New Appropriation,No,309712,309456.66,303600,303600,273240
285-01-0001-12900000,285,Judicial Inquiry Board,1,General Office,Travel,12900000,General Revenue Fund,1,General Funds,New Appropriation,No,3387,3386.39,7800,7800,7020
285-01-0001-13000000,285,Judicial Inquiry Board,1,General Office,Commodities,13000000,General Revenue Fund,1,General Funds,New Appropriation,No,2007,2006.44,1500,1500,1350
285-01-0001-13020000,285,Judicial Inquiry Board,1,General Office,Printing,13020000,General Revenue Fund,1,General Funds,New Appropriation,No,1500,1495.73,1500,1500,1350
285-01-0001-15000000,285,Judicial Inquiry Board,1,General Office,Equipment,15000000,General Revenue Fund,1,General Funds,New Appropriation,No,244,243.78,1500,1500,1350
285-01-0001-17000000,285,Judicial Inquiry Board,1,General Office,Telecommunications,17000000,General Revenue Fund,1,General Funds,New Appropriation,No,4516,4441.9,5400,5400,4860
285-01-0001-18000000,285,Judicial Inquiry Board,1,General Office,Operation Of Auto Equipment,18000000,General Revenue Fund,1,General Funds,New Appropriation,No,1834,1612.62,1900,1900,1710
290-01-0001-11200000,290,Office Of The State Appellate Defender,1,General Operations,Personal Services,11200000,General Revenue Fund,1,General Funds,New Appropriation,No,15400000,14974198.41,15200000,15200000,13680000
290-01-0001-11700000,290,Office Of The State Appellate Defender,1,General Operations,Social Security,11700000,General Revenue Fund,1,General Funds,New Appropriation,No,1076100,1074937.05,1109600,1109600,998600
290-01-0001-12000000,290,Office Of The State Appellate Defender,1,General Operations,Contractual Services,12000000,General Revenue Fund,1,General Funds,New Appropriation,No,2079000,2071328.31,2162000,2085641,1945800
290-01-0001-12900000,290,Office Of The State Appellate Defender,1,General Operations,Travel,12900000,General Revenue Fund,1,General Funds,New Appropriation,No,60000,56111.52,80000,65000,72000
290-01-0001-13000000,290,Office Of The State Appellate Defender,1,General Operations,Commodities,13000000,General Revenue Fund,1,General Funds,New Appropriation,No,44000,37290.97,44000,44000,39600
290-01-0001-13020000,290,Office Of The State Appellate Defender,1,General Operations,Printing,13020000,General Revenue Fund,1,General Funds,New Appropriation,No,30000,26693.9,45000,45000,40500
290-01-0001-15000000,290,Office Of The State Appellate Defender,1,General Operations,Equipment,15000000,General Revenue Fund,1,General Funds,New Appropriation,No,56000,55609.87,46000,46000,41400
290-01-0001-16000000,290,Office Of The State Appellate Defender,1,General Operations,Electronic Data Processing,16000000,General Revenue Fund,1,General Funds,New Appropriation,No,945500,938885.55,1010000,1101359,909000
290-01-0001-17000000,290,Office Of The State Appellate Defender,1,General Operations,Telecommunications,17000000,General Revenue Fund,1,General Funds,New Appropriation,No,161000,160703.58,155000,155000,139500
290-01-0001-19000000,290,Office Of The State Appellate Defender,1,General Operations,Expungement Program,19000000,General Revenue Fund,1,General Funds,New Appropriation,No,175000,172007.04,175000,175000,157500
290-01-0001-19000100,290,Office Of The State Appellate Defender,1,General Operations,Public Defender Training,19000100,General Revenue Fund,1,General Funds,New Appropriation,No,63000,63000,63000,63000,56700
290-20-0001-19100000,290,Office Of The State Appellate Defender,20,Illinois Criminal Justice Information Grants,Expenses Related to Federally Assisted Programs,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,60000,51198.09,60000,60000,54000
290-20-0117-19100000,290,Office Of The State Appellate Defender,20,Illinois Criminal Justice Information Grants,Expenses Related to Federally Assisted Programs,19100000,State Appellate Defender Federal Trust Fund,117,Federal Trust Funds,New Appropriation,No,200000,143834.89,200000,200000,200000
295-01-0001-11200000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Personal Services,11200000,General Revenue Fund,1,General Funds,New Appropriation,No,3440024,3440023.77,3338400,3338400,3004600
295-01-0001-11200100,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Personal Services,11200100,General Revenue Fund,1,General Funds,New Appropriation,No,1469361,1469360.46,1453050,1453050,1307700
295-01-0001-11200200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Personal Services,11200200,General Revenue Fund,1,General Funds,New Appropriation,No,125334,125333.46,125300,125300,112800
295-01-0001-11290000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,State Paid Retirement,11290000,General Revenue Fund,1,General Funds,New Appropriation,No,135175,135174.89,132300,132300,119070
295-01-0001-11290100,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,State Paid Retirement,11290100,General Revenue Fund,1,General Funds,New Appropriation,No,59248,59247.76,58250,58250,52425
295-01-0001-11290200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,State Paid Retirement,11290200,General Revenue Fund,1,General Funds,New Appropriation,No,5050,5049.32,5100,5100,4590
295-01-0001-11700000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Social Security,11700000,General Revenue Fund,1,General Funds,New Appropriation,No,253992,253991.79,254800,254800,229320
295-01-0001-11700100,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Social Security,11700100,General Revenue Fund,1,General Funds,New Appropriation,No,97258,97257.48,103400,103400,93060
295-01-0001-11700200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Social Security,11700200,General Revenue Fund,1,General Funds,New Appropriation,No,7808,7807.2,9100,9100,8190
295-01-0001-12000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Contractual Services,12000000,General Revenue Fund,1,General Funds,New Appropriation,No,93082,93080,205639,205639,185075
295-01-0001-12000100,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Contractual Services,12000100,General Revenue Fund,1,General Funds,New Appropriation,No,13800,13800,13800,13800,12420
295-01-0001-12330000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Contractual Services,12330000,General Revenue Fund,1,General Funds,New Appropriation,No,175034,166406.78,165200,165200,148680
295-01-0001-12900000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Travel,12900000,General Revenue Fund,1,General Funds,New Appropriation,No,8993,8992.76,13000,13000,11700
295-01-0001-13000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Commodities,13000000,General Revenue Fund,1,General Funds,New Appropriation,No,10169,10168.48,10200,10200,9180
295-01-0001-13020000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Printing,13020000,General Revenue Fund,1,General Funds,New Appropriation,No,4272,4272,4061,4061,3680
295-01-0001-15000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Equipment,15000000,General Revenue Fund,1,General Funds,New Appropriation,No,1042,1041.49,2100,2100,1890
295-01-0001-16000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Electronic Data Processing,16000000,General Revenue Fund,1,General Funds,New Appropriation,No,1000,1000,4000,4000,3600
295-01-0001-17000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Telecommunications,17000000,General Revenue Fund,1,General Funds,New Appropriation,No,23058,23058,20000,20000,18000
295-01-0001-18000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Operation Of Auto Equipment,18000000,General Revenue Fund,1,General Funds,New Appropriation,No,10000,9980.97,16000,16000,14400
295-01-0001-19000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Criminal Justice General Revenue Match Fund,19000000,General Revenue Fund,1,General Funds,New Appropriation,No,85800,84505.49,85800,85800,77220
295-01-0001-19100100,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Continuing Legal Education,19100100,General Revenue Fund,1,General Funds,New Appropriation,No,100000,100000,100000,100000,90000
295-01-0001-19100400,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Training Grants,19100400,General Revenue Fund,1,General Funds,New Appropriation,No,40000,40000,40000,40000,36000
295-01-0001-44000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,To the State Treasurer for State's Attorneys for Filing Appeals in Cook County,44000000,General Revenue Fund,1,General Funds,New Appropriation,No,2000000,1939810.03,2000000,2000000,1800000
295-01-0090-19000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Federally Assisted Programs to Assist Local State's Attorneys in Drug Related Cases,19000000,Special Federal Grant Projects Fund,90,Federal Trust Funds,New Appropriation,No,2200000,529847.12,2200000,2200000,2200000
295-01-0745-11200000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Personal Services,11200000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,1129800,695535.12,1129800,1129800,1129800
295-01-0745-11200200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Personal Services,11200200,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,70400,70291.97,70400,70400,70400
295-01-0745-11290000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,State Paid Retirement,11290000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,45200,19905.63,33900,33900,45200
295-01-0745-11290200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,State Paid Retirement,11290200,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,2832,2831.76,2800,2800,2800
295-01-0745-11610000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Retirement,11610000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,455500,282219.71,478350,478350,515200
295-01-0745-11610200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Retirement,11610200,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,28539,28538.42,28400,28400,32100
295-01-0745-11700000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Social Security,11700000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,74329,49809.57,86500,86500,86500
295-01-0745-11700200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Social Security,11700200,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,5400,5240.86,5400,5400,5400
295-01-0745-11800000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Group Insurance,11800000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,310500,83699.3,310500,310500,310500
295-01-0745-11800200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Group Insurance,11800200,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,23000,14951.28,23000,23000,23000
295-01-0745-12000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Contractual Services,12000000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,228700,178370.34,450000,450000,450000
295-01-0745-12000100,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Contractual Services,12000100,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,36400,36400,36400,36400,36400
295-01-0745-12000200,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Contractual Services,12000200,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,157000,155402.56,257000,257000,257000
295-01-0745-12330000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Contractual Services,12330000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,138400,91671.98,138400,138400,138400
295-01-0745-12900000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Travel,12900000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,20500,16944.39,15500,15500,15500
295-01-0745-13000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Commodities,13000000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,5000,392.44,5000,5000,5000
295-01-0745-13020000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Printing,13020000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,800,284,800,800,800
295-01-0745-15000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Equipment,15000000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,2200,0,2200,2200,2200
295-01-0745-16000000,295,Office Of The State's Attorneys Appellate Prosecutor,1,General Office,Electronic Data Processing,16000000,State's Attorneys Appellate Prosecutor's County Fund,745,Special State Funds,New Appropriation,No,4400,3729.21,2400,2400,2400
